Lifetime.s,Conditions,Replicate
450,Bef,1
450,Bef,1
18,Bef,1
27,Bef,1
225,Bef,1
63,Bef,1
18,Bef,1
450,Bef,1
81,Bef,1
450,Bef,2
54,Bef,2
9,Bef,2
36,Bef,2
261,Bef,2
99,Bef,2
27,Bef,2
54,Bef,2
18,Bef,2
18,Bef,2
9,Bef,2
9,Bef,2
9,Bef,2
36,Bef,2
27,Bef,2
27,Bef,2
27,Bef,2
27,Bef,2
45,Bef,2
63,Bef,2
81,Bef,2
54,Bef,2
450,Bef,2
450,Bef,2
18,Bef,2
9,Bef,2
171,Bef,2
27,Bef,2
450,Bef,3
225,Bef,3
72,Bef,3
90,Bef,3
450,Bef,3
450,Bef,3
171,Bef,3
450,Bef,3
450,Bef,3
27,Aft,1
54,Aft,1
27,Aft,1
45,Aft,1
90,Aft,1
81,Aft,1
63,Aft,1
81,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
45,Aft,1
9,Aft,1
45,Aft,1
9,Aft,1
18,Aft,1
18,Aft,1
18,Aft,1
9,Aft,1
18,Aft,1
27,Aft,1
27,Aft,1
18,Aft,1
9,Aft,1
27,Aft,1
36,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
36,Aft,1
9,Aft,1
45,Aft,1
36,Aft,1
36,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
81,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
36,Aft,1
36,Aft,1
63,Aft,1
81,Aft,1
9,Aft,1
9,Aft,1
45,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
54,Aft,1
36,Aft,1
45,Aft,1
18,Aft,1
18,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
126,Aft,1
99,Aft,1
9,Aft,1
9,Aft,1
36,Aft,1
18,Aft,1
45,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
45,Aft,1
9,Aft,1
45,Aft,1
27,Aft,1
18,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
27,Aft,1
45,Aft,1
27,Aft,1
63,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
63,Aft,1
27,Aft,1
63,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
27,Aft,1
72,Aft,1
81,Aft,1
9,Aft,1
27,Aft,1
18,Aft,1
108,Aft,1
54,Aft,1
9,Aft,1
36,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
27,Aft,1
18,Aft,1
63,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
27,Aft,1
72,Aft,1
45,Aft,1
27,Aft,1
45,Aft,1
72,Aft,1
27,Aft,1
90,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
18,Aft,1
54,Aft,1
27,Aft,1
27,Aft,1
63,Aft,1
45,Aft,1
9,Aft,1
18,Aft,1
54,Aft,1
36,Aft,1
72,Aft,1
63,Aft,1
9,Aft,1
45,Aft,1
63,Aft,1
45,Aft,1
36,Aft,1
63,Aft,1
54,Aft,1
9,Aft,1
63,Aft,1
81,Aft,1
72,Aft,1
81,Aft,1
27,Aft,1
36,Aft,1
81,Aft,1
18,Aft,1
9,Aft,1
441,Aft,1
450,Aft,1
63,Aft,1
423,Aft,1
27,Aft,1
9,Aft,1
63,Aft,1
45,Aft,1
9,Aft,1
144,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
27,Aft,1
36,Aft,1
9,Aft,1
18,Aft,1
9,Aft,1
27,Aft,1
99,Aft,1
18,Aft,1
9,Aft,1
9,Aft,1
45,Aft,1
18,Aft,1
9,Aft,1
99,Aft,1
72,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
36,Aft,1
153,Aft,1
81,Aft,1
18,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
9,Aft,1
90,Aft,1
90,Aft,1
126,Aft,1
126,Aft,1
45,Aft,1
45,Aft,1
27,Aft,1
72,Aft,1
18,Aft,1
126,Aft,1
18,Aft,1
9,Aft,1
54,Aft,1
9,Aft,1
9,Aft,1
18,Aft,1
36,Aft,1
27,Aft,1
36,Aft,1
9,Aft,1
54,Aft,1
81,Aft,1
171,Aft,1
27,Aft,1
9,Aft,1
45,Aft,1
9,Aft,1
18,Aft,1
18,Aft,1
18,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
27,Aft,1
9,Aft,1
27,Aft,1
27,Aft,1
18,Aft,1
27,Aft,1
63,Aft,1
72,Aft,1
72,Aft,1
81,Aft,1
45,Aft,1
288,Aft,1
9,Aft,1
9,Aft,2
9,Aft,2
81,Aft,2
18,Aft,2
9,Aft,2
27,Aft,2
9,Aft,2
36,Aft,2
90,Aft,2
9,Aft,2
9,Aft,2
27,Aft,2
9,Aft,2
9,Aft,2
108,Aft,2
9,Aft,2
18,Aft,2
36,Aft,2
27,Aft,2
45,Aft,3
9,Aft,3
9,Aft,3
36,Aft,3
27,Aft,3
450,Aft,3
36,Aft,3
36,Aft,3
9,Aft,3
9,Aft,3
27,Aft,3
36,Aft,3
18,Aft,3
18,Aft,3
9,Aft,3
9,Aft,3
18,Aft,3
9,Aft,3
63,Aft,3
18,Aft,3
18,Aft,3
9,Aft,3
9,Aft,3
63,Aft,3
9,Aft,3
